time,open,high,low,close,Hourly 20 EMA,Plot
2025-06-09T12:55:00-05:00,6026.25,6027,6024,6024.75,5997.049121359224,6021.345137022216
2025-06-09T13:00:00-05:00,6024.75,6026.25,6023.5,6024,5997.049121359224,6021.5979811153375
2025-06-09T13:05:00-05:00,6024,6025.25,6022.75,6023.75,5997.049121359224,6021.802935294829
2025-06-09T13:10:00-05:00,6023.75,6026.25,6023.75,6025.75,5997.049121359224,6022.178846219131
2025-06-09T13:15:00-05:00,6025.75,6026.75,6024.5,6025.5,5997.049121359224,6022.495146579214
2025-06-09T13:20:00-05:00,6025.25,6027,6025,6026,5997.049121359224,6022.828942143098
2025-06-09T13:25:00-05:00,6026.25,6027.75,6025.25,6026,5999.8063478964405,6023.13094765328
2025-06-09T13:30:00-05:00,6025.75,6027,6025,6025.25,5999.8063478964405,6023.332762162491
2025-06-09T13:35:00-05:00,6025.5,6026.25,6020,6021,5999.8063478964405,6023.110594337492
2025-06-09T13:40:00-05:00,6021.25,6022.25,6018.75,6021.75,5999.8063478964405,6022.981013924398
2025-06-09T13:45:00-05:00,6021.75,6024.75,6021.25,6023.25,5999.8063478964405,6023.006631645884
2025-06-09T13:50:00-05:00,6023.25,6024.25,6022.5,6024,5999.8063478964405,6023.1012381558
2025-06-09T13:55:00-05:00,6024,6027.5,6023.75,6025.25,5999.8063478964405,6023.305882140962
2025-06-09T14:00:00-05:00,6025,6026.75,6024.5,6025.25,5999.8063478964405,6023.491036222776
2025-06-09T14:05:00-05:00,6025.5,6026,6022.5,6024,5999.8063478964405,6023.539508963464
2025-06-09T14:10:00-05:00,6024,6025.5,6021,6021.5,5999.8063478964405,6023.345270014563
2025-06-09T14:15:00-05:00,6021.5,6022.5,6020.25,6021.5,5999.8063478964405,6023.169530013176
2025-06-09T14:20:00-05:00,6021.25,6021.75,6018.25,6020,5999.8063478964405,6022.867670011921
2025-06-09T14:25:00-05:00,6019.75,6021.25,6018.5,6020.5,6001.777171906303,6022.642177629834
2025-06-09T14:30:00-05:00,6020.5,6020.75,6017.5,6019,6001.777171906303,6022.29530356985
2025-06-09T14:35:00-05:00,6019,6022.5,6018.75,6019.25,6001.777171906303,6022.005274658436
2025-06-09T14:40:00-05:00,6019,6019.75,6016,6017,6001.777171906303,6021.528581833823
2025-06-09T14:45:00-05:00,6017,6018.25,6014,6018,6001.777171906303,6021.192526421079
2025-06-09T14:50:00-05:00,6017.75,6022,6014.25,6014.25,6001.777171906303,6020.531333428595
2025-06-09T14:55:00-05:00,6014.25,6018.75,6008.5,6010,6001.777171906303,6019.528349292538
2025-06-09T15:00:00-05:00,6010,6012.25,6007.5,6009.5,6001.777171906303,6018.573268407535
